code,taxon,tvk
3,Nomada ruficornis,NHMSYS0000876447
2,Nomada rufipes,NHMSYS0000876448
4,Nomada sexfasciata,NHMSYS0000876454
3,Nomada sheppardana,NHMSYS0000876455
3,Nomada signata,NHMSYS0000876456
3,Nomada striata,NHMSYS0000876460
3,Nysson dimidiatus,NHMSYS0000876469
5,Nysson interruptus,NHMSYS0000876470
3,Nysson spinosus,NHMSYS0000876471
3,Nysson trimaculatus,NHMSYS0000876472
3,Odynerus melanocephalus,NHMSYS0000876481
5,Odynerus reniformis,NHMSYS0000876482
3,Odynerus simillimus,NHMSYS0000876483
3,Odynerus spinipes,NHMSYS0000876484
4,Omalus aeneus,NHMSYS0000876486
4,Omalus puncticollis,NHMSYS0000876487
2,Osmia aurulenta,NHMSYS0000876507
2,Osmia bicolor,NHMSYS0000876508
1,Osmia bicornis,NHMSYS0000876509
3,Osmia inermis,NHMSYS0000876512
3,Osmia leaiana,NHMSYS0000876513
3,Osmia parietina,NHMSYS0000876516
3,Osmia pilicornis,NHMSYS0000876517
3,Osmia uncinata,NHMSYS0000876519
3,Osmia xanthomelana,NHMSYS0000876520
3,Oxybelus argentatus,NHMSYS0000876522
3,Oxybelus mandibularis,NHMSYS0000876523
3,Oxybelus uniglumis,NHMSYS0000876526
3,Panurgus banksianus,NHMSYS0000876528
3,Panurgus calcaratus,NHMSYS0000876529
4,Paratrechina longicornis,NHMSYS0000876533
3,Passaloecus clypealis,NHMSYS0000876535
3,Passaloecus corniger,NHMSYS0000876536
3,Passaloecus eremita,NHMSYS0000876537
3,Passaloecus gracilis,NHMSYS0000876539
3,Passaloecus insignis,NHMSYS0000876541
3,Passaloecus monilicornis,NHMSYS0000876542
3,Passaloecus singularis,NHMSYS0000876544
3,Pemphredon inornata,NHMSYS0000876562
3,Pemphredon lugubris,NHMSYS0000876563
3,Pemphredon morio,NHMSYS0000876564
3,Pheidole megacephala,NHMSYS0000876573
1,Philanthus triangulum,NHMSYS0000876577
4,Plastanoxus munroi,NHMSYS0000876584
4,Plastanoxus westwoodi,NHMSYS0000876585
3,Podalonia affinis,NHMSYS0000876591
3,Podalonia hirsuta,NHMSYS0000876592
4,Ponera coarctata,NHMSYS0000876602
4,Pristocera depressa,NHMSYS0000876626
5,Psen ater,NHMSYS0000876631
3,Psenulus concolor,NHMSYS0000876634
4,Psenulus schencki,NHMSYS0000876635
2,Pseudepipona herrichii,NHMSYS0000876638
4,Pseudisobrachium subcyaneum,NHMSYS0000876641
2,Rhopalum clavipes,NHMSYS0000876655
3,Rhopalum coarctatum,NHMSYS0000876656
3,Rhopalum gracile,NHMSYS0000876657
5,Rophites quinquespinosus,NHMSYS0000876662
1,Sapyga quinquepunctata,NHMSYS0000876664
3,Solenopsis fugax,NHMSYS0000876673
3,Sphecodes ephippius,NHMSYS0000876679
4,Sphecodes ferruginatus,NHMSYS0000876681
3,Sphecodes gibbus,NHMSYS0000876682
3,Sphecodes hyalinatus,NHMSYS0000876683
3,Sphecodes longulus,NHMSYS0000876684
3,Sphecodes monilicornis,NHMSYS0000876686
3,Sphecodes niger,NHMSYS0000876687
3,Sphecodes pellucidus,NHMSYS0000876688
3,Sphecodes puncticeps,NHMSYS0000876691
3,Sphecodes reticulatus,NHMSYS0000876692
3,Sphecodes scabricollis,NHMSYS0000876694
