taxon,tvk,km100,km10,coord_system
Rhagio lineola,NBNSYS0000007862,SU,00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 29 30 31 32 33 34 36 37 39 40 41 42 43 44 45 46 47 49 50 51 52 53 54 55 56 57 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Rhagio lineola,NBNSYS0000007862,SV,80 81 90 91,OSGB
Rhagio lineola,NBNSYS0000007862,SW,32 33 42 43 44 52 53 54 61 62 63 64 65 71 72 73 74 75 76 81 82 83 85 86 87 93 94 95 96 97 98,OSGB
Rhagio lineola,NBNSYS0000007862,SX,03 04 05 06 07 08 09 14 15 16 17 18 19 25 26 27 28 29 36 37 38 39 44 47 48 49 54 55 56 57 58 59 63 64 65 66 67 68 69 73 74 75 76 77 78 79 83 84 85 86 87 88 89 94 95 96 97 98 99,OSGB
Rhagio lineola,NBNSYS0000007862,SY,07 08 09 18 19 28 29 39 49 58 59 67 68 69 78 79 88 89 97 98 99,OSGB
Rhagio lineola,NBNSYS0000007862,SZ,07 08 09 19 28 29 38 39 47 48 49 57 58 59 68 69 79 89 99,OSGB
Rhagio lineola,NBNSYS0000007862,TA,00 04 05 06 07 08 09 14 16 17 26 27,OSGB
Rhagio lineola,NBNSYS0000007862,TF,06 07 09 15 16 17 25 26 33 36 41 46 52 55 56 60 61 62 63 64 70 71 72 73 74 80 81 82 83 84 90 91 92 93 94,OSGB
Rhagio lineola,NBNSYS0000007862,TG,00 01 02 03 04 10 11 12 13 14 20 21 22 23 24 30 31 32 33 40 41 42 50 51,OSGB
Rhagio lineola,NBNSYS0000007862,TL,00 01 02 03 04 05 06 10 11 12 13 14 15 20 21 22 23 24 25 30 31 32 33 35 40 41 42 43 45 50 51 52 53 54 57 60 61 62 63 64 65 66 67 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99,OSGB
Rhagio lineola,NBNSYS0000007862,TM,02 03 04 05 06 07 08 09 12 13 15 16 17 18 19 21 25 26 27 28 29 33 34 35 36 37 38 39 44 45 46 47 48 49 57 58 59,OSGB
